"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",2022-10-19,2022-10-26,2022-11-02,2022-11-09,2022-11-16,2022-11-23,2022-11-30,2022-12-07,2022-12-14,2022-12-21,2022-12-28,2023-01-04,2023-01-11,2023-01-18,2023-01-25,2023-02-01,2023-02-08,2023-02-15,2023-02-22,2023-03-01
"Other loans and leases: All other loans and leases: Other loans not elsewhere classified, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1310NCBD,B1310NCBD,1099717.0,1102646.0,1104187.0,1100685.0,1107820.0,1101668.0,1104015.0,1107762.0,1110047.0,1117210.0,1115530.0,1110100.0,1096162.0,1096257.0,1101735.0,1115801.0,1106469.0,1106722.0,1094531.0,1095856.0
"LESS: Allowance for loan and lease losses, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1043NCBD,B1043NCBD,167184.0,167164.0,168441.0,168292.0,168045.0,168327.0,167691.0,169683.0,169649.0,169519.0,169468.0,173467.0,175419.0,175375.0,175302.0,175101.0,175302.0,175367.0,175321.0,174875.0
"Cash assets, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1048NCBD,B1048NCBD,3087971.0,3158505.0,3088069.0,3130682.0,3242732.0,3248530.0,3168777.0,3236265.0,3279027.0,3166093.0,3088990.0,3158562.0,3211479.0,3235310.0,3082350.0,3109999.0,3109327.0,3158680.0,3083446.0,3075814.0
"Total fed funds sold and securities purchased under agreements to resell, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B3092NCBD,B3092NCBD,552058.0,550013.0,549294.0,553074.0,589093.0,587369.0,572227.0,563812.0,580965.0,596310.0,608736.0,596025.0,593645.0,595528.0,609409.0,625353.0,613847.0,613092.0,611233.0,606232.0
"Loans to commercial banks, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1047NCBD,B1047NCBD,7901.0,7513.0,7268.0,7338.0,6681.0,6767.0,7251.0,6929.0,6948.0,7141.0,6996.0,7448.0,7368.0,7628.0,7519.0,7252.0,6876.0,7079.0,7878.0,8238.0
"Other assets, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B3053NCBD,B3053NCBD,1858005.0,1854644.0,1870398.0,1894428.0,1881956.0,1954016.0,1902991.0,1846520.0,1875728.0,1858662.0,1827224.0,1816870.0,1850195.0,1849926.0,1850419.0,1837988.0,1848765.0,1864876.0,1901738.0,1870053.0
"Total assets, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1151NCBD,B1151NCBD,22642912.0,22735566.0,22728600.0,22794079.0,22960209.0,23064206.0,22964819.0,23043880.0,23142084.0,23047574.0,22958063.0,22976541.0,23021921.0,23055405.0,22913172.0,22999701.0,22957345.0,23011255.0,22954184.0,22889710.0
"Deposits, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1058NCBD,B1058NCBD,17668892.0,17661392.0,17708403.0,17725347.0,17795138.0,17758344.0,17787751.0,17886202.0,17953909.0,17935971.0,17920157.0,17894698.0,17772945.0,17732732.0,17607057.0,17646615.0,17593096.0,17634812.0,17575463.0,17636433.0
"Large time deposits, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1072NCBD,B1072NCBD,1498580.0,1501471.0,1509337.0,1558635.0,1580460.0,1603173.0,1610730.0,1646527.0,1654297.0,1664955.0,1664802.0,1677459.0,1698874.0,1712581.0,1744831.0,1746966.0,1775035.0,1793379.0,1806115.0,1822662.0
"Other deposits, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1110NCBD,B1110NCBD,16170312.0,16159921.0,16199066.0,16166712.0,16214678.0,16155171.0,16177021.0,16239675.0,16299612.0,16271016.0,16255355.0,16217239.0,16074071.0,16020151.0,15862226.0,15899649.0,15818061.0,15841433.0,15769348.0,15813771.0
"Borrowings, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B3094NCBD,B3094NCBD,1747877.0,1767595.0,1782066.0,1808700.0,1843243.0,1872633.0,1821219.0,1853759.0,1871516.0,1878152.0,1867300.0,1908355.0,1922225.0,1935131.0,1966493.0,1970101.0,1972746.0,1988772.0,2010006.0,2009226.0
"Net due to related foreign offices, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1100NCBD,B1100NCBD,333490.0,384888.0,327785.0,336821.0,416754.0,472040.0,419332.0,384084.0,371018.0,323870.0,282033.0,269727.0,396729.0,448933.0,397935.0,445892.0,451915.0,428386.0,376859.0,326304.0
"Other liabilities, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B3095NCBD,B3095NCBD,804129.0,816984.0,821566.0,830482.0,815223.0,868717.0,834845.0,794761.0,810899.0,777587.0,773753.0,773862.0,790911.0,772085.0,786317.0,768236.0,761080.0,778138.0,810912.0,766737.0
"Total liabilities, all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1152NCBD,B1152NCBD,20554388.0,20630859.0,20639820.0,20701350.0,20870358.0,20971734.0,20863147.0,20918806.0,21007342.0,20915580.0,20843243.0,20846642.0,20882810.0,20888881.0,20757802.0,20830844.0,20778837.0,20830108.0,20773240.0,20738700.0
"Residual (assets less liabilities), all commercial banks, not seasonally adjusted","Currency","1000000","USD",H8/H8/B1091NCBD,B1091NCBD,2088524.0,2104707.0,2088780.0,2092729.0,2089851.0,2092472.0,2101672.0,2125074.0,2134742.0,2131994.0,2114820.0,2129899.0,2139111.0,2166524.0,2155370.0,2168857.0,2178508.0,2181147.0,2180944.0,2151010.0
